PoolParticipantID,AssetType,AssetID,hours,MWh,Date,TimeStamp
ECLP,IPP,ENC3,Hour1,0.0000,2016-01-01,2016-01-01 01:00:00
ECLP,IPP,ENC3,Hour2,0.0000,2016-01-01,2016-01-01 02:00:00
ECLP,IPP,ENC3,Hour3,0.0000,2016-01-01,2016-01-01 03:00:00
ECLP,IPP,ENC3,Hour4,0.0000,2016-01-01,2016-01-01 04:00:00
ECLP,IPP,ENC3,Hour5,0.0000,2016-01-01,2016-01-01 05:00:00
ECLP,IPP,ENC3,Hour6,0.0000,2016-01-01,2016-01-01 06:00:00
ECLP,IPP,ENC3,Hour7,0.0000,2016-01-01,2016-01-01 07:00:00
ECLP,IPP,ENC3,Hour8,0.0000,2016-01-01,2016-01-01 08:00:00
ECLP,IPP,ENC3,Hour9,0.0000,2016-01-01,2016-01-01 09:00:00
ECLP,IPP,ENC3,Hour10,0.0000,2016-01-01,2016-01-01 10:00:00
ECLP,IPP,ENC3,Hour11,0.0000,2016-01-01,2016-01-01 11:00:00
ECLP,IPP,ENC3,Hour12,0.0000,2016-01-01,2016-01-01 12:00:00
ECLP,IPP,ENC3,Hour13,0.0000,2016-01-01,2016-01-01 13:00:00
ECLP,IPP,ENC3,Hour14,0.0000,2016-01-01,2016-01-01 14:00:00
ECLP,IPP,ENC3,Hour15,0.0000,2016-01-01,2016-01-01 15:00:00
ECLP,IPP,ENC3,Hour16,0.0000,2016-01-01,2016-01-01 16:00:00
ECLP,IPP,ENC3,Hour17,0.0000,2016-01-01,2016-01-01 17:00:00
ECLP,IPP,ENC3,Hour18,0.0000,2016-01-01,2016-01-01 18:00:00
ECLP,IPP,ENC3,Hour19,0.0000,2016-01-01,2016-01-01 19:00:00
ECLP,IPP,ENC3,Hour20,0.0000,2016-01-01,2016-01-01 20:00:00
ECLP,IPP,ENC3,Hour21,0.0000,2016-01-01,2016-01-01 21:00:00
ECLP,IPP,ENC3,Hour22,0.0000,2016-01-01,2016-01-01 22:00:00
ECLP,IPP,ENC3,Hour23,0.0000,2016-01-01,2016-01-01 23:00:00
ECLP,IPP,ENC3,Hour24,0.0000,2016-01-01,2016-01-01 00:00:00
ECLP,IPP,ENC3,Hour1,0.0000,2016-01-02,2016-01-02 01:00:00
ECLP,IPP,ENC3,Hour2,0.0000,2016-01-02,2016-01-02 02:00:00
ECLP,IPP,ENC3,Hour3,0.0000,2016-01-02,2016-01-02 03:00:00
ECLP,IPP,ENC3,Hour4,0.0000,2016-01-02,2016-01-02 04:00:00
ECLP,IPP,ENC3,Hour5,0.0000,2016-01-02,2016-01-02 05:00:00
ECLP,IPP,ENC3,Hour6,0.0000,2016-01-02,2016-01-02 06:00:00
ECLP,IPP,ENC3,Hour7,0.0000,2016-01-02,2016-01-02 07:00:00
ECLP,IPP,ENC3,Hour8,0.0000,2016-01-02,2016-01-02 08:00:00
ECLP,IPP,ENC3,Hour9,0.0000,2016-01-02,2016-01-02 09:00:00
ECLP,IPP,ENC3,Hour10,0.0000,2016-01-02,2016-01-02 10:00:00
ECLP,IPP,ENC3,Hour11,0.0000,2016-01-02,2016-01-02 11:00:00
ECLP,IPP,ENC3,Hour12,0.0000,2016-01-02,2016-01-02 12:00:00
ECLP,IPP,ENC3,Hour13,0.0000,2016-01-02,2016-01-02 13:00:00
ECLP,IPP,ENC3,Hour14,0.0000,2016-01-02,2016-01-02 14:00:00
ECLP,IPP,ENC3,Hour15,0.0000,2016-01-02,2016-01-02 15:00:00
ECLP,IPP,ENC3,Hour16,0.0000,2016-01-02,2016-01-02 16:00:00
ECLP,IPP,ENC3,Hour17,9.3660,2016-01-02,2016-01-02 17:00:00
ECLP,IPP,ENC3,Hour18,50.9376,2016-01-02,2016-01-02 18:00:00
ECLP,IPP,ENC3,Hour19,49.4844,2016-01-02,2016-01-02 19:00:00
ECLP,IPP,ENC3,Hour20,40.0064,2016-01-02,2016-01-02 20:00:00
ECLP,IPP,ENC3,Hour21,0.0000,2016-01-02,2016-01-02 21:00:00
ECLP,IPP,ENC3,Hour22,0.0000,2016-01-02,2016-01-02 22:00:00
ECLP,IPP,ENC3,Hour23,0.0000,2016-01-02,2016-01-02 23:00:00
ECLP,IPP,ENC3,Hour24,0.0000,2016-01-02,2016-01-02 00:00:00
ECLP,IPP,ENC3,Hour1,0.0000,2016-01-03,2016-01-03 01:00:00
ECLP,IPP,ENC3,Hour2,0.0000,2016-01-03,2016-01-03 02:00:00
ECLP,IPP,ENC3,Hour3,0.0000,2016-01-03,2016-01-03 03:00:00
ECLP,IPP,ENC3,Hour4,0.0000,2016-01-03,2016-01-03 04:00:00
ECLP,IPP,ENC3,Hour5,0.0000,2016-01-03,2016-01-03 05:00:00
ECLP,IPP,ENC3,Hour6,0.0000,2016-01-03,2016-01-03 06:00:00
ECLP,IPP,ENC3,Hour7,0.0000,2016-01-03,2016-01-03 07:00:00
ECLP,IPP,ENC3,Hour8,0.0000,2016-01-03,2016-01-03 08:00:00
ECLP,IPP,ENC3,Hour9,0.0000,2016-01-03,2016-01-03 09:00:00
ECLP,IPP,ENC3,Hour10,0.0000,2016-01-03,2016-01-03 10:00:00
ECLP,IPP,ENC3,Hour11,0.0000,2016-01-03,2016-01-03 11:00:00
ECLP,IPP,ENC3,Hour12,0.0000,2016-01-03,2016-01-03 12:00:00
ECLP,IPP,ENC3,Hour13,0.0000,2016-01-03,2016-01-03 13:00:00
ECLP,IPP,ENC3,Hour14,0.0000,2016-01-03,2016-01-03 14:00:00
ECLP,IPP,ENC3,Hour15,0.0000,2016-01-03,2016-01-03 15:00:00
ECLP,IPP,ENC3,Hour16,0.0000,2016-01-03,2016-01-03 16:00:00
